               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 144,            0.037952,             0.10403,          0.00019193,             0.97023,             0.97472,              0.9624,             0.37887,             0.03697,            0.030903,          0.00015386,           0.0029215,           0.0029215,           0.0029215
                 145,            0.036916,            0.099969,          0.00018706,             0.97586,             0.97788,             0.97055,             0.38903,            0.036964,            0.031243,          0.00015547,            0.002872,            0.002872,            0.002872
                 146,            0.038394,            0.096888,          0.00019196,             0.97622,             0.97903,             0.96956,             0.40321,            0.036135,            0.031289,          0.00015245,           0.0028225,           0.0028225,           0.0028225
                 147,            0.037393,             0.10072,          0.00018848,             0.97235,             0.97616,              0.9637,             0.38941,            0.036565,            0.031295,          0.00015344,            0.002773,            0.002773,            0.002773
                 148,            0.037573,             0.10543,          0.00018813,              0.9688,             0.97271,             0.95927,             0.39074,            0.035943,            0.031069,          0.00015248,           0.0027235,           0.0027235,           0.0027235
                 149,             0.03805,             0.10094,          0.00016957,             0.97529,             0.97731,             0.96881,             0.40515,            0.036285,             0.03096,          0.00014256,            0.002674,            0.002674,            0.002674
                 150,            0.037487,            0.098755,          0.00016375,             0.97022,             0.97213,             0.96298,             0.38757,            0.036652,            0.031005,          0.00014385,           0.0026245,           0.0026245,           0.0026245
                 151,            0.037342,             0.10002,          0.00017528,             0.97622,             0.97898,             0.97039,             0.38995,            0.036598,            0.030858,          0.00014479,            0.002575,            0.002575,            0.002575
                 152,            0.037726,             0.10632,          0.00016691,             0.97724,             0.98018,             0.97322,             0.39955,            0.036056,            0.031045,            0.000151,           0.0025255,           0.0025255,           0.0025255
                 153,            0.037758,             0.10277,          0.00017109,             0.97844,              0.9819,             0.97275,             0.41748,            0.035433,            0.030767,          0.00013872,            0.002476,            0.002476,            0.002476
                 154,            0.038308,             0.10511,          0.00017198,             0.96883,             0.97336,             0.96068,             0.38023,            0.036459,            0.030772,          0.00013908,           0.0024265,           0.0024265,           0.0024265
